  50, 50, 1, 1, -1
 200, 50, 2, 1, -1
 350, 50, 3, 1, -1
 500, 50, 4, 1, -1
 650, 50, 5, 1, -1
 800, 50, 6, 1, -1
 950, 50, 7, 1, -1
1100, 50, 8, 1, -1
  50,200, 9, 1, -1
 200,200,10, 1, -1
 350,200, 1, 1, -1
 500,200, 2, 1, -1
 650,200, 3, 1, -1
 800,200, 4, 1, -1
 950,200, 5, 1, -1
1100,200, 6, 1, -1
  50,350, 7, 1, -1
 200,350, 8, 1, -1
 350,350, 9, 1, -1
 500,350,10, 1, -1
 650,350, 1, 1, -1
 800,350, 2, 1, -1
 950,350, 3, 1, -1
1100,350, 4, 1, -1
  50,500, 5, 1, -1
 200,500, 6, 1, -1
 350,500, 7, 1, -1
 500,500, 8, 1, -1
 650,500, 9, 1, -1
 800,500,10, 1, -1
